id,name,user_id,color,emoji,created_at,updated_at,is_active
41,Housing,13,#5b40b3,,2025-07-16 22:58:26.158362+00,2025-09-20T14:49:58.639568,True
42,Savings - Emergency (Joint),13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
43,Transfers - Other,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
44,Savings - KC,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
45,Other,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
46,Saturn,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
47,Passive Income,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
48,Lifestyle,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
49,Transfers - Checkings,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
50,Retirement,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
51,Personal,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
52,Transportation,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
53,Subscriptions,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
54,Work,13,#CCCCCC,🏢,2025-07-16 22:58:26.159362+00,2025-09-20T15:01:18.790189,True
55,Credit Card,13,#CCCCCC,,2025-07-16 22:58:26.159362+00,2025-07-16 22:58:26.159362+00,True
